Website,Title,Description,Tags
wiki.natural-europe.eu/index.php?title=Datasets,Natural Europe Dataset,"Datasets from the Natural Europe Project, containing cultural collections of photos & videos","cultural, enviroment"
databib.org/,Databib,Databib is a searchable catalog / registry / directory / bibliography of research data repositories.,Knowledge Base
yeastrc.org/pdr/pages/front.jsp,Yeast Resource Center Public Data Repository,The YRC PDR provides access to scientific experimental data resulting from collaborations and technology development involving the Yeast Resource Center. The data has been made public either through publication or by specific consent of the researchers involved.,Knowledge Base
opensciencedatacloud.org/publicdata/,Public Data Sets,"Repository for public data sets of scientific interest, hosted on the OSDC.",Knowledge Base
aws.amazon.com/publicdatasets/,Public Data Sets on AWS,AWS hosts a variety of public data sets that anyone can access for free.,Knowledge Base
google.com/publicdata/directory,Google Public Data,"The Google Public Data Explorer makes large datasets easy to explore, visualize and communicate.",Knowledge Base
open-data.europa.eu/en/,European Union Open Data Portal,"The European Union Open Data Portal is the single point of access to a growing range of data from the institutions and other bodies of the European Union (EU). Data are free for you to use and reuse for commercial or non-commercial purposes. By providing easy and free access to data, the portal aims to promote their innovative use and unleash their economic potential. It also aims to help foster the transparency and the accountability of the institutions and other bodies of the EU.",Knowledge Base
publicdata.eu,Publicdata.eu,"PublicData.eu is a Pan European data portal, providing access to open, freely reusable datasets from local, regional and national public bodies across Europe.",Knowledge Base
data.un.org,Undata,The United Nations Statistics Division (UNSD) of the Department of Economic and Social Affairs (DESA) launched a new internet based data service for the global user community. It brings UN statistical databases within easy reach of users through a single entry point (http://data.un.org/). Users can now search and download a variety of statistical resources of the UN system.,"Knowledge Base, economy"
data.worldbank.org,World Bank Open Data,World Bank Open Data: free and open access to data about development in countries around the globe.,"Knowledge Base, economy"
